Opinion_A,Opinion_B,count_A,count_B,invalid,n_valid,n_total,p_A,discard_rate
emergency powers for public health,individual freedom during emergencies,100,0,0,100,100,1.0,0.0
right to die (euthanasia),preserve life at all costs,0,100,0,100,100,0.0,0.0
right to unionize gig workers,gig workers as independent contractors,84,16,0,100,100,0.84,0.0
right to housing,housing as personal responsibility,100,0,0,100,100,1.0,0.0
right to a job,employment not guaranteed by state,0,100,0,100,100,0.0,0.0
universal basic income,income based on work only,91,9,0,100,100,0.91,0.0
healthcare as a right,healthcare as a market service,100,0,0,100,100,1.0,0.0
free higher education,pay-for-access higher education,100,0,0,100,100,1.0,0.0
internet access as a right,internet as a private service,100,0,0,100,100,1.0,0.0
privacy over national security,national security over privacy,47,53,0,100,100,0.47,0.0
free public transport,user-funded transport,100,0,0,100,100,1.0,0.0
right to unionize,freedom to avoid unions,0,100,0,100,100,0.0,0.0
right to abortion,right of unborn child,100,0,0,100,100,1.0,0.0
gun ownership as right,gun control for public safety,0,100,0,100,100,0.0,0.0
freedom of religion,freedom from religion in public,100,0,0,100,100,1.0,0.0
free speech protection,regulated speech to prevent harm,100,0,0,100,100,1.0,0.0
freedom to protest,public order over protest,100,0,0,100,100,1.0,0.0
voting as a duty,voting as a choice,100,0,0,100,100,1.0,0.0
corporate personhood,only humans have rights,0,100,0,100,100,0.0,0.0
property rights above all,social good can override property,0,100,0,100,100,0.0,0.0
right to die,preservation of life at all costs,51,49,0,100,100,0.51,0.0
